1,2,3,4,5,6,x,y,z,TPC_Rx,TPC_Ry,TPC_Rz,x-real,y-real,z-real
18.784,-29.245,-58.805,-94.077,-130.281,-145.553,-401.546,-195.8,785.077,0.462,-1.571,-1.033,-400.04,-194.598,785.856
-5.756,-45.082,-73.641,-94.045,-102.164,-156.554,-136.636,-78.574,856.624,0.363,-1.028,-1.25,-134.304,-78.0006,857.545
-10.443,-22.853,-22.205,-98.712,-107.174,-23.018,-789.947,58.65,561.26,-1.488,-1.594,0.236,-789.299,60.3306,560.214
17.904,-20.412,-49.233,-98.93,-113.495,-96.485,-573.17,-265.72,682.38,0.08,-1.756,-0.215,-571.949,-264.332,682.185
-7.473,-31.261,-34.376,-93.462,-134.014,-149.609,-615.357,27.937,733.711,0.393,-2.101,-1.476,-615.069,29.3297,733.455
-51.056,-36.241,-48.1,-103.415,-89.531,-22.344,-368.442,280.724,835.012,-1.234,-0.741,0.246,-367.37,282.031,835.277
-0.51,-33.502,-40.754,-94.763,-91.007,-129.061,-560.189,-103.157,777.881,0.581,-1.693,-0.513,-559.216,-102.366,778.665
-56.336,-41.154,-47.678,-98.351,-87.898,-9.058,-313.96,268.499,864.537,-1.344,-0.56,0.38,-313.203,269.559,864.781
-42.791,-46.389,-70.264,-103.821,-84.989,-77.197,-165.765,-5.2,872.064,-0.332,-0.81,-0.451,-163.793,-4.61636,872.304
6.473,-26.727,-73.328,-91.98,-98.103,-149.051,-357.583,-138.896,775.457,0.661,-1.252,-0.861,-355.373,-138.259,776.27
16.898,-43.366,-14.2,-92.38,-49.654,-0.502,-546.099,-336.493,761.97,-1.045,-2.32,1.7,-544.674,-335.45,762.892
-16.169,-46.885,-56.968,-90.847,-109.218,-5.379,-260.763,-10.018,890.834,-1.218,-0.629,0.791,-258.951,-8.86561,891.322
-44.877,-49.977,-41.429,-99.938,-83.642,-3.691,-314.023,145.298,914.939,-1.238,-0.669,0.681,-312.863,146.588,915.631
-19.583,-21.157,-10.222,-91.75,-138.621,-172.654,-807.165,236.054,452.544,-1.033,2.325,1.297,-808.206,236.614,450.136
-40.304,-45.804,3.405,-107.523,-82.718,-2.016,-614.303,363.091,698.864,-1.902,-1.012,0.63,-613.726,365.581,698.383
-51.768,-40.693,-39.147,-108.041,-81.773,-108.534,-379.173,285.317,856.663,-0.307,-1.465,-0.897,-378.205,286.502,857.399
-23.86,-32.563,9.64,-100.866,-108.113,-141.946,-803.257,262.797,457.966,0.539,-2.687,-0.853,-803.469,264.682,456.669
-54.785,-42.935,-43.499,-108.31,-81.726,-16.555,-323.939,248.617,881.769,-1.132,-0.689,0.374,-322.791,249.859,882.07
-40.723,-45.515,-34.125,-107.337,-85.683,-10.439,-407.407,198.004,881.501,-1.248,-0.791,0.61,-405.989,199.917,881.956
-0.63,-32.769,-70.628,-107.429,-95.672,-112.824,-289.289,-97.903,823.423,0.112,-1.037,-0.421,-286.944,-96.6464,824.026
-26.395,-48.676,-58.357,-101.486,-115.307,-121.405,-199.414,16.302,901.409,-0.371,-1.136,-1.129,-197.9,17.4061,902.098
8.639,-20.724,8.716,-98.784,-121.811,-142.338,-873.578,-200.305,289.135,1.325,-2.54,-0.948,-872.686,-198.908,286.899
29.314,-22.57,4.572,-98.485,-119.967,-4.436,-734.652,-491.676,351.581,-1.294,-2.098,0.137,-733.743,-490.687,350.602
-25.529,-30.468,-8.037,-102.788,-123.618,-104.718,-736.365,280.435,579.41,-0.544,-2.25,-1.025,-736.243,282.644,578.511
25.378,-26.414,11.092,-105.743,-114.899,-146.522,-760.738,-444.457,366.511,1.607,-2.094,-0.753,-760.143,-443.956,365.501
-32.298,-22.842,49.786,-136.528,-106.509,-92.557,-770.399,383.948,34.002,-0.8,-2.738,-0.538,-767.989,387.336,31.5967
-19.976,-41.35,45.136,-131.8,-116.936,-17.618,-804.543,214.753,344.482,-1.826,-1.487,-0.144,-803.364,217.929,342.83
-30.408,-20.055,32.972,-139.578,-87.058,-113.82,-839.275,359.678,137.983,-0.123,-2.526,-0.321,-837.984,362.883,136.126
-55.057,-42.516,55.518,-139.475,-89.201,-138.332,-561.011,608.102,278.307,-0.148,-2.65,-0.673,-558.731,612.118,277.132
-16.355,-36.757,29.79,-94.672,-122.889,-113.604,-820.428,172.329,342.223,-0.103,2.991,0.93,-820.539,173.884,340.105
-30.24,-24.723,-25.35,-108.737,-129.515,-86.827,-660.073,318.563,632.493,-1.001,-1.702,-0.975,-659.457,320.565,631.508
